artsid;artsnavn;klassifikation
10860;Sibirisk Jernspurv;SU
16110;Snefinke;SU
15980;Skovspurv;Alm
15920;Spansk Spurv;SU
15910;Gråspurv;Alm
10190;Bjergvipstjert;Alm
10170;Gul Vipstjert;Alm
10172;Gul Vipstjert, Gulhovedet (ssp. flavissima);SUB
10171;Gul Vipstjert (ssp. flava);Alm
10174;Gul Vipstjert, Sorthovedet (ssp. feldegg);SU
10173;Gul Vipstjert, Nordlig (ssp. thunbergi);Alm
10180;Citronvipstjert;SUB
26643;Sibirisk Vipstjert;SU
10200;Hvid Vipstjert;Alm
10202;Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);SUB
10201;Hvid Vipstjert (ssp. alba);Alm
10040;Mongolsk Piber;SU
10050;Markpiber;SUB
10020;Storpiber;SUB
10090;Skovpiber;Alm
10080;Tajgapiber;SU
10120;Rødstrubet Piber;SUB
10110;Engpiber;Alm
10135;Skærpiber;Alm
10140;Bjergpiber;SUB
16380;Kvækerfinke;Alm
16360;Bogfinke;Alm
17170;Kernebider;Alm
16790;Karmindompap;Alm
17040;[Langhalet Rosenfinke];Alm
16890;[Rosenfinke];Alm
16990;Krognæb;SU
17100;Dompap;Alm
17101;Dompap, Stor (ssp. pyrrhula);Alm
17102;Dompap, Lille (ssp. europaea);Alm
16760;Ørkendompap;SU
16740;[Ørkenfinke];Alm
16490;Grønirisk;Alm
16500;[Brunirisk];Alm
16620;Bjergirisk;Alm
16600;Tornirisk;Alm
16630;Gråsisken;Alm
16634;Gråsisken, Nordlig (ssp. flammea);Alm
16632;Gråsisken, Grønlandsk (ssp. rostrata);SU
16635;Gråsisken, Lille (ssp. cabaret);Alm
16640;Gråsisken, Hvidsisken (ssp. exilipes);SUB
16650;Hvidvinget Korsnæb;SUB
16680;Stor Korsnæb;SUB
16660;Lille Korsnæb;Alm
16530;Stillits;Alm
16420;[Kanariefugl];Alm
16400;Gulirisk;SUB
16540;Grønsisken;Alm
18500;Snespurv;Alm
18470;Lapværling;SUB
18770;Rørspurv;Alm
18710;Gulbrynet Værling;SU
18760;Gulbrystet Værling;SU
18740;Dværgværling;SUB
18730;Pileværling;SU
18810;Hætteværling;SU
18800;Brunhovedet Værling;SU
18820;Bomlærke;Alm
18600;Klippeværling;SU
18670;Bjerghortulan;SU
18650;Gulgrå Værling;SU
18660;Hortulan;SUB
18580;Gærdeværling;SU
18560;Hvidkindet Værling;SU
18570;Gulspurv;Alm
18420;Mørkøjet Junco;SU
18400;Hvidstrubet Spurv;SU
18390;Hvidkronet Spurv;SU
17530;Stribet Sanger;SU
17330;Gul Sanger;SU
18870;Rosenbrystet Kernebider;SU
18920;[Indigofinke];Alm
2265;Amerikansk Skarveand x Hvidhovedet And (hybrid);Alm
1688;Knortegås, Mørkbuget x Sortbuget (hybrid);Alm
1689;Knortegås x Rødhalset Gås (hybrid);Alm
1664;Canadagås x Bramgås (hybrid);Alm
1669;Canadagås x Grågås (hybrid);Alm
1677;Bramgås x Dværgcanadagås (hybrid);Alm
1678;Bramgås x Dværggås (hybrid);Alm
1679;Bramgås x Rødhalset Gås (hybrid);Alm
1625;Indisk Gås X Grågås (hybrid);Alm
1626;Indisk Gås X Canadagås (hybrid);Alm
1627;Indisk Gås X Bramgås (hybrid);Alm
1645;Dværgsnegås x Bramgås (hybrid);Alm
1639;Snegås x Bramgås (hybrid);Alm
1615;Grågås x Blisgås (hybrid);Alm
1619;Grågås x Bramgås (hybrid);Alm
1569;Svanegås x Grågås (hybrid);Alm
1594;Blisgås x Bramgås (hybrid);Alm
1595;Blisgås x Rødhalset Gås (hybrid);Alm
1714;Rustand x Gravand (hybrid);Alm
2078;Kongeederfugl x Ederfugl (hybrid);Alm
2189;Hvinand x Lille Skallesluger (hybrid);Alm
1969;Rødhovedet And x Taffeland (hybrid);Alm
2028;Hvidøjet And x Troldand (hybrid);Alm
2029;Hvidøjet And x Taffeland (hybrid);Alm
1989;Taffeland x Troldand (hybrid);Alm
2005;Halsbåndstroldand x Troldand (hybrid);Alm
2039;Troldand x Bjergand (hybrid);Alm
2051;Lille Bjergand x Troldand (hybrid);Alm
2058;Dykand hybrid;Alm
