artsnavn;bemaerk_antal
Dværglærke;1
Cistussanger;1
Gulbug;5
Spottesanger;1
Lille Gulbug;1
Bleg Gulbug;1
Sivsanger;10
Vandsanger;1
Lille Rørsanger;1
Buskrørsanger;1
Kærsanger;3
Rørsanger;10
Drosselrørsanger;1
Stor Græshoppesanger;1
Stribet Græshoppesanger;1
Flodsanger;1
Savisanger;1
Græshoppesanger;2
Digesvale;100
Klippesvale;1
Landsvale;500
Landsvale, Libanonlandsvale (ssp. transitiva);1
Landsvale x Bysvale (hybrid);1
Bysvale;100
Rødbrystet Svale;1
Rødrygget Svale;1
Amursvale;1
Svale sp.;500
Halemejse;5
Halemejse, Nordlig (ssp. caudatus);5
Halemejse, Sydlig (ssp. europaeus);5
Nordlig Halemejse x Sydlig Halemejse (hybrid);5
Cettisanger;1
Skovsanger;1
Bjergløvsanger;1
Bjergløvsanger/Balkanløvsanger;1
Hvidbrynet Løvsanger;1
Himalayasanger;1
Fuglekongesanger;1
Schwarz Løvsanger;1
Sinkiangløvsanger;1
Brun Løvsanger;1
Tamarisksanger;1
Løvsanger;50
Løvsanger, Almindelig (ssp. trochilus);1
Løvsanger, Nordlig (ssp. acredula);1
Gransanger x Løvsanger (hybrid);1
Iberisk Gransanger;1
Gransanger;10
Gransanger, Skandinavisk (ssp. abietinus);1
Gransanger, Sydlig (ssp. collybita);1
Gransanger, Sibirisk (ssp. tristis);1
Grøn Sanger;1
Østlig Lundsanger;1
Lundsanger;1
Nordsanger;1
Phylloscopus sp.;50
Havesanger;5
Munk;10
Høgesanger;1
Gærdesanger;7
Gærdesanger, Sibirisk (ssp. blythi);1
Gærdesanger, Steppe (ssp. halimodendri);1
Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);1
Asiatisk Ørkensanger;1
Tornsanger;10
Sardinsk Sanger;1
Sortstrubet Sanger;1
Sorthovedet Sanger;1
Makisanger;1
Iberisk Sanger;1
Rødstrubet Sanger;1
Rødstrubet Sanger (ssp. cantillans);1
Rødstrubet Sanger (ssp. albistriata);1
Rødstrubet Sanger/Iberisk Sanger/Makisanger;1
Sanger sp.;50
Silkehale;5
Rødtoppet Fuglekonge;1
Fuglekonge;20
Spætmejse;10
Spætmejse, Mørkbuget (ssp. caesia);10
Spætmejse, Lysbuget (ssp. europaea);1
Bynkefugl x Sortstrubet Bynkefugl (hybrid);1
Træløber;2
Træløber, Sydlig (ssp. macrodactyla);1
Træløber, Nordlig (ssp. familiaris);1
Korttået Træløber;1
Træløber/Korttået Træløber;2
Gærdesmutte;20
Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);1
Ensfarvet Stær;1
Stær;10000
Rosenstær;1
Rødvinget Sortstær;1
Vandstær;1
Gulddrossel;1
Olivenskovdrossel;1
Eremitdrossel;1
Misteldrossel;10
Sangdrossel;50
Vindrossel;100
Vindrossel, Islandsk (ssp. coburni);1
Sangdrossel/Vindrossel;50
Solsort;50
Sjagger;600
Sjagger x Solsort (hybrid);1
Ringdrossel;1
Sortstrubet Drossel;1
Rødstrubet Drossel;1
Brundrossel;1
Rødstrubet Drossel/Sortstrubet Drossel;1
Gråstrubet Drossel;1
Vandredrossel;1
Drossel sp.;200
Brun Fluesnapper;1
Grå Fluesnapper;3
Rødhals;50
Nattergal;2
Sydlig Nattergal;1
Nattergal/Sydlig Nattergal;1
Blåhals;1
Blåhals, Nordlig (ssp. svecica);1
Blåhals, Sydlig (ssp. cyanecula);1
Rubinnattergal;1
Manchurernattergal;1
Lille Fluesnapper;1
Tajgafluesnapper;1
Hvidhalset Fluesnapper;1
Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid);1
Broget Fluesnapper;1
Fluesnapper sp.;1
Blåstjert;1
Husrødstjert;2
Husrødstjert, Tien-Shan (ssp. phoenicuroides);1
Rødstjert;3
Stendrossel;1
Bynkefugl;10
Sibirisk Bynkefugl;1
Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii);1
Sibirisk Bynkefugl/Japansk Bynkefugl;1
Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus);1
Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri);1
Sibirisk Bynkefugl (ssp. maurus);1
Sortstrubet Bynkefugl;1
Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans);1
Sortstrubet Bynkefugl, Europæisk (ssp. rubicola);1
Ørkenstenpikker;1
Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker;1
Vestlig Middelhavsstenpikker;1
Nonnestenpikker;1
Østlig Middelhavsstenpikker;1
